Age,BusinessTravel,EducationField,Gender,JobLevel,JobRole,NumCompaniesWorked,Suitable
41,1,1,0,2,0,8,0
49,2,1,1,2,1,1,0
37,1,0,1,1,1,6,0
33,2,1,0,1,1,1,1
27,1,0,1,1,1,9,0
32,2,1,1,1,1,0,1
59,1,0,0,1,1,4,0
30,1,1,1,1,1,1,1
38,2,1,1,3,0,0,1
36,1,0,1,2,0,6,0
35,1,0,1,1,1,0,1
29,1,1,0,2,1,0,1
31,1,1,1,1,1,1,1
34,1,0,1,1,1,0,1
28,1,1,1,1,1,5,0
29,1,1,0,3,0,1,1
32,1,1,1,1,1,0,1
22,0,0,1,1,1,1,1
53,1,1,0,4,1,2,0
38,1,1,1,1,1,5,0
24,0,0,0,2,0,0,1
36,1,1,1,1,0,7,0
34,1,1,0,3,0,0,1
21,1,1,1,1,1,1,1
34,1,0,1,1,1,2,1
53,1,0,0,5,1,4,0
32,2,1,0,1,1,1,1
42,1,0,1,2,0,0,0
44,1,0,0,3,0,3,0
46,1,0,0,5,1,3,0
33,1,0,1,1,1,4,1
44,1,0,1,2,0,2,0
30,1,0,1,1,1,1,1
39,1,1,1,2,0,3,0
24,1,0,1,1,1,2,1
43,1,0,0,1,1,1,0
50,1,0,1,1,0,1,0
35,1,0,0,1,0,1,1
36,1,1,0,1,1,9,0
33,2,1,0,2,0,2,1
35,1,0,1,1,1,1,1
27,1,1,0,1,1,1,1
26,1,1,1,1,1,1,1
27,2,1,1,3,0,1,1
30,2,0,0,2,1,1,1
41,1,1,0,5,0,1,0
34,0,0,1,2,0,0,1
37,1,1,1,1,1,4,1
46,2,0,1,2,0,4,0
35,1,1,1,1,1,1,1
48,1,1,1,3,1,9,0
28,1,1,1,1,1,1,1
44,1,0,0,2,0,5,0
35,0,0,1,3,0,2,1
26,1,0,0,2,0,7,0
33,2,1,0,3,0,1,1
35,2,1,1,3,0,1,1
35,1,0,0,1,1,3,1
31,1,1,1,2,1,3,1
37,1,1,1,2,0,1,1
32,1,0,1,2,0,1,1
38,2,1,0,2,1,1,1
50,1,0,0,5,0,5,0
59,1,1,0,3,0,7,0
36,1,1,0,3,0,1,1
55,1,0,0,4,1,2,0
36,2,1,1,2,0,1,1
45,1,1,1,3,1,2,0
35,2,0,1,1,1,4,1
36,1,0,1,1,1,0,1
59,2,1,0,2,0,7,0
29,1,1,1,1,1,0,1
31,1,0,1,1,1,1,1
32,1,1,1,2,1,1,1
36,1,1,0,1,1,3,1
31,1,1,0,2,0,1,1
35,1,0,1,2,0,0,1
45,1,0,1,3,0,4,0
37,1,0,1,3,0,4,1
46,1,0,1,2,0,8,0
30,1,1,1,2,1,1,1
